Category,Reference,Value,Order Code
Resistors,"R1",220,
Resistors,"R2",10k,
Resistors,"R3",10k,
Resistors,"R4",10k,
Resistors,"R5",10k,
Resistors,"R6",10k,
Resistors,"R7",10k,
Resistors,"R8",10k,
Integrated Circuits,"U1",PIC16F887,
Integrated Circuits,"U2",74HC373,
Integrated Circuits,"U3",74HC373,
Integrated Circuits,"U4",74HC373,
Integrated Circuits,"U5",74HC373,
Transistors,"Q1",BC547,
Diodes,"D1",Buzzer,
Diodes,"D2",DIODE,
Diodes,"D3",DIODE,
Diodes,"D4",DIODE,
Diodes,"D5",DIODE,
Miscellaneous,"BUZ1",BUZZER,
Miscellaneous,"SEG1",dig1,
Miscellaneous,"SEG2",dig2,
Miscellaneous,"SEG3",dig3,
Miscellaneous,"SEG4",dig4,
Miscellaneous,"SW1",MCLR*,
Miscellaneous,"SW2",Counter1,
Miscellaneous,"SW3",Counter2,
Miscellaneous,"SW4",Counter3,
Miscellaneous,"SW5",counter4,
Miscellaneous,"SW6",TokenCounter,
