Category,Reference,Value,Order Code
Resistors,"R1",10k,
Resistors,"R3",10k,
Resistors,"R4",10k,
Resistors,"R5",10k,
Resistors,"R6",10k,
Resistors,"R7",10k,
Resistors,"R11",10k,
Resistors,"R12",10k,
Resistors,"R13",10k,
Resistors,"R14",10k,
Resistors,"R16",10k,
Resistors,"R20",10k,
Resistors,"R2",1R,H1R
Resistors,"R10",1R,H1R
Resistors,"R8",4R7,
Resistors,"R17",220R,
Resistors,"R19",220R,
Resistors,"R18",220,
Capacitors,"C1",1uF,
Capacitors,"C2",1uF,
Capacitors,"C5",1uF,
Capacitors,"C3",22pF,
Capacitors,"C4",22pF,
Integrated Circuits,"U1",PIC16F628A,
Integrated Circuits,"U2",ULN2003A,
Integrated Circuits,"U3",7805,
Integrated Circuits,"U4",7805,
Integrated Circuits,"U5",7805,
Transistors,"Q3",BC547,
Diodes,"D3",1N4001,
Diodes,"D5",Gen_On,
Diodes,"D6",ZESA,
Diodes,"D7",Source Gen,
Miscellaneous,"AC1",220V,
Miscellaneous,"FU1",1A,
Miscellaneous,"J1",CONTROL KEY PINS,
Miscellaneous,"J2",Relay Header-Control Side,
Miscellaneous,"J3",Relay Header-Relay Side,
Miscellaneous,"J4",POWER- Relay Side,
Miscellaneous,"J5",POWER-control Side,
Miscellaneous,"J6",GSTOP,
Miscellaneous,"J7",GSTART,
Miscellaneous,"J8",GON,
Miscellaneous,"J9",Changeover,
Miscellaneous,"J10",220V Sense,
Miscellaneous,"J11",Indicators,
Miscellaneous,"J12",5V Sense,
Miscellaneous,"J13",GENON Ext Relay,
Miscellaneous,"RL0",G2R-14-AC120,
Miscellaneous,"RL1",5V,
Miscellaneous,"RL2",5V,
Miscellaneous,"RL3",5V,
Miscellaneous,"RL4",5V,
Miscellaneous,"SW1",RELAY-TEST,
Miscellaneous,"SW2",START,
Miscellaneous,"SW3",ON,
Miscellaneous,"SW4",OFF,
Miscellaneous,"SW5",AUTO,
Miscellaneous,"X1",CRYSTAL,
